0	0.00, 24.00
2016-01-27 10	743.26, 293.00
2016-01-27 11	893.65, 272.00
2016-01-27 12	1276.69, 294.00
2016-01-27 13	949.05, 308.00
2016-01-27 14	1407.86, 366.00
2016-01-27 15	1358.45, 377.00
2016-01-27 16	1814.78, 420.00
2016-01-27 17	1674.97, 644.00
2016-01-27 18	903.51, 660.00
2016-01-27 19	1088.93, 446.00
2016-01-27 20	1047.08, 301.00
2016-01-27 21	689.58, 193.00
2016-01-27 22	731.17, 130.00
2016-01-27 23	718.86, 93.00
2016-01-28 00	667.21, 53.00
2016-01-28 01	700.34, 29.00
2016-01-28 02	591.22, 18.00
2016-01-28 03	685.57, 7.00
2016-01-28 04	611.69, 26.00
2016-01-28 05	562.31, 80.00
2016-01-28 06	697.98, 331.00
2016-01-28 07	880.35, 598.00
2016-01-28 08	822.15, 1226.00
2016-01-28 09	1508.53, 971.00
2016-01-28 10	794.10, 455.00
2016-01-28 11	1280.67, 439.00
2016-01-28 12	828.04, 508.00
2016-01-28 13	782.54, 510.00
2016-01-28 14	830.17, 592.00
2016-01-28 15	1065.83, 581.00
2016-01-28 16	1091.65, 777.00
2016-01-28 17	823.98, 1307.00
2016-01-28 18	994.92, 1191.00
2016-01-28 19	1247.20, 838.00
2016-01-28 20	805.77, 562.00
2016-01-28 21	1003.27, 399.00
2016-01-28 22	1012.41, 270.00
2016-01-28 23	3115.57, 178.00
2016-01-29 00	639.82, 101.00
2016-01-29 01	712.65, 46.00
2016-01-29 02	730.79, 34.00
2016-01-29 03	672.00, 18.00
2016-01-29 04	572.58, 31.00
2016-01-29 05	595.50, 113.00
2016-01-29 06	694.71, 446.00
2016-01-29 07	746.05, 880.00
2016-01-29 08	1157.68, 1693.00
2016-01-29 09	782.21, 1307.00
2016-01-29 10	838.24, 715.00
2016-01-29 11	722.78, 633.00
2016-01-29 12	712.74, 713.00
2016-01-29 13	842.71, 748.00
2016-01-29 14	801.10, 843.00
2016-01-29 15	1064.62, 925.00
2016-01-29 16	795.91, 1273.00
2016-01-29 17	805.43, 1732.00
2016-01-29 18	781.92, 1411.00
2016-01-29 19	903.16, 920.00
2016-01-29 20	740.84, 553.00
2016-01-29 21	921.65, 367.00
2016-01-29 22	668.54, 300.00
2016-01-29 23	913.05, 226.00
2016-01-30 00	633.72, 156.00
2016-01-30 01	625.30, 107.00
2016-01-30 02	464.61, 62.00
2016-01-30 03	519.71, 41.00
2016-01-30 04	801.06, 33.00
2016-01-30 05	588.05, 43.00
2016-01-30 06	626.93, 81.00
2016-01-30 07	591.76, 189.00
2016-01-30 08	602.24, 427.00
2016-01-30 09	616.09, 647.00
2016-01-30 10	1211.66, 792.00
2016-01-30 11	788.59, 951.00
2016-01-30 12	779.23, 1097.00
2016-01-30 13	987.56, 1240.00
2016-01-30 14	1074.56, 1139.00
2016-01-30 15	1129.58, 1196.00
2016-01-30 16	1267.02, 1110.00
2016-01-30 17	847.24, 911.00
2016-01-30 18	889.38, 768.00
2016-01-30 19	880.05, 608.00
2016-01-30 20	763.71, 440.00
2016-01-30 21	761.73, 360.00
2016-01-30 22	738.67, 303.00
2016-01-30 23	804.03, 272.00
2016-01-31 00	687.57, 228.00
2016-01-31 01	612.51, 169.00
2016-01-31 02	591.15, 102.00
2016-01-31 03	771.85, 78.00
2016-01-31 04	1877.04, 47.00
2016-01-31 05	598.65, 31.00
2016-01-31 06	629.15, 62.00
2016-01-31 07	608.34, 139.00
2016-01-31 08	646.44, 331.00
2016-01-31 09	685.05, 615.00
2016-01-31 10	776.79, 884.00
2016-01-31 11	821.34, 1151.00
2016-01-31 12	945.45, 1324.00
2016-01-31 13	1139.17, 1476.00
2016-01-31 14	1188.74, 1614.00
2016-01-31 15	1069.04, 1748.00
2016-01-31 16	948.81, 1649.00
2016-01-31 17	1050.06, 1187.00
2016-01-31 18	932.97, 958.00
2016-01-31 19	860.81, 772.00
2016-01-31 20	1054.61, 523.00
2016-01-31 21	939.80, 464.00
2016-01-31 22	1179.10, 365.00
2016-01-31 23	605.37, 201.00
2016-02-01 00	2098.33, 132.00
2016-02-01 01	961.78, 68.00
2016-02-01 02	586.87, 31.00
2016-02-01 03	496.52, 21.00
2016-02-01 04	587.61, 44.00
2016-02-01 05	649.51, 217.00
2016-02-01 06	570.08, 769.00
2016-02-01 07	788.18, 1667.00
2016-02-01 08	797.53, 2973.00
2016-02-01 09	815.50, 2010.00
2016-02-01 10	838.30, 886.00
2016-02-01 11	1241.22, 910.00
2016-02-01 12	778.04, 1105.00
2016-02-01 13	750.75, 1032.00
2016-02-01 14	758.22, 1159.00
2016-02-01 15	751.62, 1063.00
2016-02-01 16	762.17, 1012.00
2016-02-01 17	759.49, 2070.00
2016-02-01 18	726.01, 2687.00
2016-02-01 19	900.57, 1752.00
2016-02-01 20	765.77, 1138.00
2016-02-01 21	752.61, 803.00
2016-02-01 22	691.62, 514.00
2016-02-01 23	584.44, 271.00
2016-02-02 00	1132.94, 147.00
2016-02-02 01	2553.87, 39.00
2016-02-02 02	562.54, 28.00
2016-02-02 03	734.36, 14.00
2016-02-02 04	545.51, 39.00
2016-02-02 05	532.79, 236.00
2016-02-02 06	639.52, 900.00
2016-02-02 07	878.04, 1861.00
2016-02-02 08	760.74, 3220.00
2016-02-02 09	701.28, 2168.00
2016-02-02 10	815.62, 1009.00
2016-02-02 11	879.77, 962.00
2016-02-02 12	758.08, 1124.00
2016-02-02 13	992.19, 1269.00
2016-02-02 14	2143.26, 1327.00
2016-02-02 15	832.98, 1464.00
2016-02-02 16	830.41, 1870.00
2016-02-02 17	826.23, 3009.00
2016-02-02 18	787.41, 2922.00
2016-02-02 19	746.81, 1947.00
2016-02-02 20	880.35, 1242.00
2016-02-02 21	756.33, 793.00
2016-02-02 22	607.62, 632.00
2016-02-02 23	864.54, 306.00
2016-02-03 00	847.69, 167.00
2016-02-03 01	593.87, 85.00
2016-02-03 02	566.65, 40.00
2016-02-03 03	700.92, 25.00
2016-02-03 04	581.84, 50.00
2016-02-03 05	550.25, 232.00
2016-02-03 06	644.41, 898.00
2016-02-03 07	595.15, 1224.00
2016-02-03 08	715.32, 2394.00
2016-02-03 09	808.43, 1984.00
2016-02-03 10	756.67, 1012.00
2016-02-03 11	662.35, 773.00
2016-02-03 12	770.79, 521.00
2016-02-03 13	563.46, 279.00
2016-02-03 14	877.50, 230.00
2016-02-03 15	545.11, 218.00
2016-02-03 16	565.46, 292.00
2016-02-03 17	908.62, 896.00
2016-02-03 18	691.18, 1525.00
2016-02-03 19	603.84, 935.00
2016-02-03 20	625.66, 858.00
2016-02-03 21	692.90, 713.00
2016-02-03 22	634.56, 511.00
2016-02-03 23	632.93, 341.00
2016-02-04 00	644.32, 194.00
2016-02-04 01	590.89, 65.00
2016-02-04 02	571.60, 43.00
2016-02-04 03	790.31, 35.00
2016-02-04 04	557.26, 50.00
2016-02-04 05	523.91, 182.00
2016-02-04 06	548.10, 649.00
2016-02-04 07	823.78, 1574.00
2016-02-04 08	709.97, 3005.00
2016-02-04 09	1130.94, 2284.00
2016-02-04 10	867.62, 1129.00
2016-02-04 11	801.38, 1052.00
2016-02-04 12	978.66, 1298.00
2016-02-04 13	858.71, 1201.00
2016-02-04 14	1023.20, 1308.00
2016-02-04 15	1442.72, 1427.00
2016-02-04 16	1850.14, 1837.00
2016-02-04 17	1049.68, 3039.00
2016-02-04 18	723.15, 2893.00
2016-02-04 19	727.02, 1875.00
2016-02-04 20	715.32, 1084.00
2016-02-04 21	629.20, 748.00
2016-02-04 22	996.60, 495.00
2016-02-04 23	664.81, 299.00
2016-02-05 00	1096.12, 126.00
2016-02-05 01	1932.48, 65.00
2016-02-05 02	487.96, 26.00
2016-02-05 03	452.23, 13.00
2016-02-05 04	359.38, 13.00
2016-02-05 05	494.38, 65.00
2016-02-05 06	520.42, 187.00
2016-02-05 07	562.90, 289.00
2016-02-05 08	847.15, 514.00
2016-02-05 09	623.52, 550.00
2016-02-05 10	836.75, 308.00
2016-02-05 11	662.43, 354.00
2016-02-05 12	692.71, 531.00
2016-02-05 13	705.96, 726.00
