00	954.00, 270249.00
2010-01-20 02	6.00, 0.00
2010-01-20 03	3.00, 0.00
2010-01-20 04	6.00, 0.00
2010-01-20 05	5.00, 0.00
2010-01-20 06	3.00, 0.00
2010-01-20 07	6.00, 0.00
2010-01-20 08	16.00, 0.00
2010-01-20 09	32.00, 0.00
2010-01-20 10	29.00, 0.00
2010-01-20 11	45.00, 0.00
2010-01-20 12	374.00, 24.00
2010-01-20 13	34.00, 1.00
2010-01-20 14	41.00, 1.00
2010-01-20 15	32.00, 4.00
2010-01-20 16	23.00, 3.00
2010-01-20 17	12.00, 1.00
2010-01-20 18	11.00, 2.00
2010-01-20 19	15.00, 1.00
2010-01-20 20	25.00, 0.00
2010-01-20 21	13.00, 5.00
2010-01-20 22	14.00, 1.00
2010-01-20 23	9.00, 0.00
2010-01-21 00	8.00, 0.00
2010-01-21 01	5.00, 0.00
2010-01-21 02	6.00, 0.00
2010-01-21 03	7.00, 0.00
2010-01-21 04	4.00, 0.00
2010-01-21 05	5.00, 0.00
2010-01-21 06	6.00, 0.00
2010-01-21 07	8.00, 0.00
2010-01-21 08	24.00, 0.00
2010-01-21 09	33.00, 0.00
2010-01-21 10	94.00, 0.00
2010-01-21 11	44.00, 0.00
2010-01-21 12	342.00, 36.00
2010-01-21 13	34.00, 2.00
2010-01-21 14	32.00, 2.00
2010-01-21 15	22.00, 2.00
2010-01-21 16	17.00, 2.00
2010-01-21 17	15.00, 2.00
2010-01-21 18	13.00, 1.00
2010-01-21 19	15.00, 0.00
2010-01-21 20	21.00, 1.00
2010-01-21 21	22.00, 0.00
2010-01-21 22	26.00, 0.00
2010-01-21 23	9.00, 3.00
2010-01-22 00	29.00, 0.00
2010-01-22 01	10.00, 0.00
2010-01-22 02	5.00, 0.00
2010-01-22 03	9.00, 0.00
2010-01-22 04	1.00, 0.00
2010-01-22 05	3.00, 0.00
2010-01-22 06	3.00, 0.00
2010-01-22 07	10.00, 0.00
2010-01-22 08	28.00, 0.00
2010-01-22 09	27.00, 0.00
2010-01-22 10	30.00, 0.00
2010-01-22 11	36.00, 0.00
2010-01-22 12	343.00, 29.00
2010-01-22 13	25.00, 5.00
2010-01-22 14	46.00, 2.00
2010-01-22 15	25.00, 1.00
2010-01-22 16	12.00, 10.00
2010-01-22 17	12.00, 1.00
2010-01-22 18	11.00, 3.00
2010-01-22 19	11.00, 0.00
2010-01-22 20	12.00, 0.00
2010-01-22 21	10.00, 0.00
2010-01-22 22	6.00, 0.00
2010-01-22 23	1.00, 0.00
2010-01-23 00	4.00, 0.00
2010-01-23 01	9.00, 0.00
2010-01-23 02	5.00, 0.00
2010-01-23 03	1.00, 0.00
2010-01-23 05	2.00, 0.00
2010-01-23 07	2.00, 0.00
2010-01-23 08	4.00, 0.00
2010-01-23 09	11.00, 0.00
2010-01-23 10	21.00, 0.00
2010-01-23 11	10.00, 0.00
2010-01-23 12	301.00, 7.00
2010-01-23 13	17.00, 3.00
2010-01-23 14	21.00, 4.00
2010-01-23 15	9.00, 5.00
2010-01-23 16	12.00, 0.00
2010-01-23 17	15.00, 0.00
2010-01-23 18	6.00, 0.00
2010-01-23 19	6.00, 0.00
2010-01-23 20	7.00, 0.00
2010-01-23 21	9.00, 0.00
2010-01-23 22	1.00, 0.00
2010-01-23 23	3.00, 1.00
2010-01-24 00	7.00, 0.00
2010-01-24 01	2.00, 0.00
2010-01-24 02	3.00, 0.00
2010-01-24 03	2.00, 0.00
2010-01-24 05	2.00, 0.00
2010-01-24 07	2.00, 0.00
2010-01-24 08	13.00, 0.00
2010-01-24 09	11.00, 0.00
2010-01-24 10	13.00, 0.00
2010-01-24 11	16.00, 0.00
2010-01-24 12	17.00, 3.00
2010-01-24 13	19.00, 0.00
2010-01-24 14	14.00, 2.00
2010-01-24 15	6.00, 2.00
2010-01-24 16	4.00, 1.00
2010-01-24 17	5.00, 0.00
2010-01-24 18	6.00, 0.00
2010-01-24 19	7.00, 0.00
2010-01-24 20	7.00, 0.00
2010-01-24 21	4.00, 0.00
2010-01-24 22	0.00, 1.00
2010-01-25 00	8.00, 0.00
2010-01-25 01	3.00, 0.00
2010-01-25 02	4.00, 0.00
2010-01-25 03	3.00, 0.00
2010-01-25 04	3.00, 0.00
2010-01-25 05	3.00, 0.00
2010-01-25 06	7.00, 0.00
2010-01-25 07	13.00, 0.00
2010-01-25 08	21.00, 0.00
2010-01-25 09	67.00, 0.00
2010-01-25 10	27.00, 0.00
2010-01-25 11	41.00, 0.00
2010-01-25 12	325.00, 17.00
2010-01-25 13	61.00, 1.00
2010-01-25 14	77.00, 1.00
2010-01-25 15	29.00, 1.00
2010-01-25 16	33.00, 3.00
2010-01-25 17	35.00, 0.00
2010-01-25 18	30.00, 1.00
2010-01-25 19	22.00, 1.00
2010-01-25 20	30.00, 2.00
2010-01-25 21	14.00, 4.00
2010-01-25 22	11.00, 1.00
2010-01-25 23	8.00, 0.00
2010-01-26 00	13.00, 0.00
2010-01-26 01	12.00, 0.00
2010-01-26 02	9.00, 0.00
2010-01-26 03	9.00, 0.00
2010-01-26 04	2.00, 0.00
2010-01-26 05	2.00, 0.00
2010-01-26 06	4.00, 0.00
2010-01-26 07	11.00, 0.00
2010-01-26 08	17.00, 0.00
2010-01-26 09	31.00, 0.00
2010-01-26 10	41.00, 0.00
2010-01-26 11	45.00, 0.00
2010-01-26 12	365.00, 27.00
2010-01-26 13	60.00, 3.00
2010-01-26 14	40.00, 0.00
2010-01-26 15	29.00, 1.00
2010-01-26 16	28.00, 2.00
2010-01-26 17	14.00, 1.00
2010-01-26 18	17.00, 2.00
2010-01-26 19	13.00, 1.00
2010-01-26 20	18.00, 1.00
2010-01-26 21	22.00, 0.00
2010-01-26 22	11.00, 1.00
2010-01-26 23	5.00, 0.00
2010-01-27 00	8.00, 0.00
2010-01-27 01	14.00, 0.00
2010-01-27 02	3.00, 0.00
2010-01-27 03	3.00, 0.00
2010-01-27 04	2.00, 0.00
2010-01-27 05	2.00, 0.00
2010-01-27 06	6.00, 0.00
2010-01-27 07	6.00, 0.00
2010-01-27 08	14.00, 0.00
2010-01-27 09	29.00, 0.00
2010-01-27 10	36.00, 0.00
2010-01-27 11	44.00, 0.00
2010-01-27 12	351.00, 10.00
2010-01-27 13	27.00, 6.00
2010-01-27 14	32.00, 4.00
2010-01-27 15	19.00, 13.00
2010-01-27 16	16.00, 2.00
2010-01-27 17	17.00, 1.00
2010-01-27 18	12.00, 7.00
2010-01-27 19	12.00, 4.00
2010-01-27 20	15.00, 0.00
2010-01-27 21	10.00, 0.00
2010-01-27 22	12.00, 0.00
2010-01-27 23	9.00, 0.00
2010-01-28 00	20.00, 0.00
2010-01-28 01	19.00, 0.00
2010-01-28 02	21.00, 0.00
2010-01-28 03	4.00, 0.00
2010-01-28 04	5.00, 0.00
2010-01-28 05	5.00, 0.00
2010-01-28 06	3.00, 0.00
2010-01-28 07	3.00, 0.00
2010-01-28 08	17.00, 0.00
2010-01-28 09	14.00, 0.00
2010-01-28 10	31.00, 0.00
2010-01-28 11	32.00, 0.00
2010-01-28 12	226.00, 19.00
2010-01-28 13	31.00, 3.00
2010-01-28 14	28.00, 3.00
2010-01-28 15	33.00, 4.00
2010-01-28 16	18.00, 2.00
2010-01-28 17	13.00, 2.00
2010-01-28 18	11.00, 1.00
2010-01-28 19	7.00, 1.00
2010-01-28 20	14.00, 2.00
2010-01-28 21	13.00, 0.00
2010-01-28 22	20.00, 0.00
2010-01-28 23	4.00, 0.00
2010-01-29 00	16.00, 0.00
2010-01-29 01	6.00, 0.00
2010-01-29 02	9.00, 0.00
2010-01-29 03	4.00, 0.00
2010-01-29 04	4.00, 0.00
2010-01-29 05	1.00, 0.00
2010-01-29 06	9.00, 0.00
2010-01-29 07	6.00, 0.00
2010-01-29 08	11.00, 0.00
2010-01-29 09	24.00, 0.00
2010-01-29 10	32.00, 0.00
2010-01-29 11	39.00, 0.00
2010-01-29 12	318.00, 15.00
2010-01-29 13	33.00, 2.00
2010-01-29 14	22.00, 2.00
2010-01-29 15	28.00, 2.00
2010-01-29 16	12.00, 1.00
2010-01-29 17	15.00, 0.00
2010-01-29 18	15.00, 1.00
2010-01-29 19	10.00, 1.00
2010-01-29 20	17.00, 1.00
2010-01-29 21	19.00, 0.00
2010-01-29 22	11.00, 0.00
2010-01-29 23	5.00, 0.00
2010-01-30 00	2.00, 0.00
2010-01-30 01	7.00, 0.00
2010-01-30 02	7.00, 0.00
2010-01-30 03	7.00, 0.00
2010-01-30 04	4.00, 0.00
2010-01-30 05	3.00, 0.00
2010-01-30 06	1.00, 0.00
2010-01-30 08	8.00, 0.00
2010-01-30 09	17.00, 0.00
2010-01-30 10	19.00, 0.00
2010-01-30 11	15.00, 0.00
2010-01-30 12	233.00, 10.00
2010-01-30 13	21.00, 1.00
2010-01-30 14	22.00, 1.00
2010-01-30 15	11.00, 1.00
2010-01-30 16	12.00, 2.00
2010-01-30 17	14.00, 0.00
2010-01-30 18	15.00, 1.00
2010-01-30 19	11.00, 3.00
2010-01-30 20	6.00, 0.00
2010-01-30 21	8.00, 0.00
2010-01-30 22	4.00, 0.00
2010-01-30 23	4.00, 0.00
2010-01-31 00	2.00, 0.00
2010-01-31 01	4.00, 0.00
2010-01-31 02	3.00, 0.00
2010-01-31 03	2.00, 0.00
2010-01-31 04	2.00, 0.00
2010-01-31 05	2.00, 0.00
2010-01-31 06	2.00, 0.00
2010-01-31 07	2.00, 0.00
2010-01-31 08	10.00, 0.00
2010-01-31 09	25.00, 0.00
2010-01-31 10	17.00, 0.00
2010-01-31 11	22.00, 0.00
2010-01-31 12	36.00, 5.00
2010-01-31 13	25.00, 1.00
2010-01-31 14	19.00, 2.00
2010-01-31 15	10.00, 0.00
2010-01-31 16	5.00, 1.00
2010-01-31 17	4.00, 1.00
2010-01-31 18	7.00, 0.00
2010-01-31 19	9.00, 0.00
2010-01-31 20	6.00, 1.00
2010-01-31 21	8.00, 0.00
2010-01-31 22	4.00, 0.00
2010-01-31 23	4.00, 0.00
2010-02-01 00	11.00, 0.00
2010-02-01 01	4.00, 0.00
2010-02-01 02	6.00, 0.00
2010-02-01 03	7.00, 0.00
2010-02-01 04	5.00, 0.00
2010-02-01 05	1.00, 0.00
2010-02-01 06	6.00, 0.00
2010-02-01 07	8.00, 0.00
2010-02-01 08	15.00, 0.00
2010-02-01 09	30.00, 0.00
2010-02-01 10	48.00, 0.00
2010-02-01 11	41.00, 0.00
2010-02-01 12	383.00, 19.00
2010-02-01 13	39.00, 2.00
2010-02-01 14	33.00, 4.00
2010-02-01 15	29.00, 3.00
2010-02-01 16	27.00, 1.00
2010-02-01 17	21.00, 2.00
2010-02-01 18	17.00, 1.00
2010-02-01 19	23.00, 2.00
2010-02-01 20	17.00, 2.00
2010-02-01 21	19.00, 1.00
2010-02-01 22	26.00, 0.00
2010-02-01 23	10.00, 0.00
2010-02-02 00	13.00, 0.00
2010-02-02 01	12.00, 0.00
2010-02-02 02	11.00, 0.00
2010-02-02 03	15.00, 0.00
2010-02-02 04	8.00, 0.00
2010-02-02 05	1.00, 0.00
2010-02-02 06	2.00, 0.00
2010-02-02 07	6.00, 0.00
2010-02-02 08	20.00, 0.00
2010-02-02 09	43.00, 0.00
2010-02-02 10	36.00, 0.00
2010-02-02 11	26.00, 0.00
2010-02-02 12	356.00, 31.00
2010-02-02 13	37.00, 4.00
2010-02-02 14	27.00, 3.00
2010-02-02 15	26.00, 1.00
2010-02-02 16	22.00, 11.00
2010-02-02 17	9.00, 2.00
2010-02-02 18	20.00, 1.00
2010-02-02 19	15.00, 1.00
2010-02-02 20	14.00, 2.00
2010-02-02 21	9.00, 1.00
2010-02-02 22	10.00, 2.00
2010-02-02 23	10.00, 0.00
2010-02-03 00	15.00, 0.00
